country;variable;description;code;2014
BGR;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;774
BGR;K;"Architectural and engineering activities; technical testing and analysis";M71;646
BGR;K;Scientific research and development;M72;8 322
BGR;K;Advertising and market research;M73;419
BGR;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;442
BGR;K;Administrative and support service activities;N;3 913
BGR;K;"Public administration and defence; compulsory social security";O84;22 806
BGR;K;Education;P85;8 126
BGR;K;Human health and social work activities;Q;2 400
BGR;K;Other service activities;R_S;6 080
BGR;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
BGR;K;Activities of extraterritorial organizations and bodies;U;0
BRA;K;Crop and animal production, hunting and related service activities;A01;644 233
BRA;K;Forestry and logging;A02;48 495
BRA;K;Fishing and aquaculture;A03;18 318
BRA;K;Mining and quarrying;B;1 520 494
BRA;K;Manufacture of food products, beverages and tobacco products;C10-C12;481 152
BRA;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;135 009
BRA;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;86 931
BRA;K;Manufacture of paper and paper products;C17;273 319
BRA;K;Printing and reproduction of recorded media;C18;140 661
BRA;K;Manufacture of coke and refined petroleum products ;C19;239 744
BRA;K;Manufacture of chemicals and chemical products ;C20;183 073
BRA;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;128 825
BRA;K;Manufacture of rubber and plastic products;C22;91 078
BRA;K;Manufacture of other non-metallic mineral products;C23;61 374
BRA;K;Manufacture of basic metals;C24;128 987
BRA;K;Manufacture of fabricated metal products, except machinery and equipment;C25;161 879
BRA;K;Manufacture of computer, electronic and optical products;C26;27 740
BRA;K;Manufacture of electrical equipment;C27;29 186
BRA;K;Manufacture of machinery and equipment n.e.c.;C28;71 447
BRA;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;289 466
BRA;K;Manufacture of other transport equipment;C30;48 493
BRA;K;"Manufacture of furniture; other manufacturing";C31_C32;60 992
BRA;K;Repair and installation of machinery and equipment;C33;0
BRA;K;Electricity, gas, steam and air conditioning supply;D35;239 656
BRA;K;Water collection, treatment and supply;E36;96 402
BRA;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;0
BRA;K;Construction;F;380 037
BRA;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;138 391
BRA;K;Wholesale trade, except of motor vehicles and motorcycles;G46;187 762
BRA;K;Retail trade, except of motor vehicles and motorcycles;G47;255 225
BRA;K;Land transport and transport via pipelines;H49;276 761
BRA;K;Water transport;H50;13 359
BRA;K;Air transport;H51;23 048
BRA;K;Warehousing and support activities for transportation;H52;112 068
BRA;K;Postal and courier activities;H53;0
BRA;K;Accommodation and food service activities;I;219 301
BRA;K;Publishing activities;J58;165 819
BRA;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;218 448
BRA;K;Telecommunications;J61;55 839
BRA;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;72 907
BRA;K;Financial service activities, except insurance and pension funding;K64;78 702
BRA;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;0
BRA;K;Activities auxiliary to financial services and insurance activities;K66;0
BRA;K;Real estate activities;L68;7 072 763
BRA;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;160 685
BRA;K;"Architectural and engineering activities; technical testing and analysis";M71;63 779
BRA;K;Scientific research and development;M72;40 231
BRA;K;Advertising and market research;M73;0
BRA;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;0
BRA;K;Administrative and support service activities;N;257 364
BRA;K;"Public administration and defence; compulsory social security";O84;2 100 431
BRA;K;Education;P85;50 157
BRA;K;Human health and social work activities;Q;221 191
BRA;K;Other service activities;R_S;173 982
