country;variable;description;code;2014
GBR;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;5 397
GBR;K;Administrative and support service activities;N;312 384
GBR;K;"Public administration and defence; compulsory social security";O84;180 928
GBR;K;Education;P85;140 551
GBR;K;Human health and social work activities;Q;113 568
GBR;K;Other service activities;R_S;83 107
GBR;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
GBR;K;Activities of extraterritorial organizations and bodies;U;0
GRC;K;Crop and animal production, hunting and related service activities;A01;11 095
GRC;K;Forestry and logging;A02;361
GRC;K;Fishing and aquaculture;A03;1 087
GRC;K;Mining and quarrying;B;2 004
GRC;K;Manufacture of food products, beverages and tobacco products;C10-C12;3 926
GRC;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;1 385
GRC;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;256
GRC;K;Manufacture of paper and paper products;C17;398
GRC;K;Printing and reproduction of recorded media;C18;347
GRC;K;Manufacture of coke and refined petroleum products ;C19;963
GRC;K;Manufacture of chemicals and chemical products ;C20;836
GRC;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;758
GRC;K;Manufacture of rubber and plastic products;C22;755
GRC;K;Manufacture of other non-metallic mineral products;C23;987
GRC;K;Manufacture of basic metals;C24;1 249
GRC;K;Manufacture of fabricated metal products, except machinery and equipment;C25;1 239
GRC;K;Manufacture of computer, electronic and optical products;C26;243
GRC;K;Manufacture of electrical equipment;C27;462
GRC;K;Manufacture of machinery and equipment n.e.c.;C28;484
GRC;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;70
GRC;K;Manufacture of other transport equipment;C30;203
GRC;K;"Manufacture of furniture; other manufacturing";C31_C32;466
GRC;K;Repair and installation of machinery and equipment;C33;146
GRC;K;Electricity, gas, steam and air conditioning supply;D35;12 399
GRC;K;Water collection, treatment and supply;E36;3 051
GRC;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;1 871
GRC;K;Construction;F;6 815
GRC;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;1 471
GRC;K;Wholesale trade, except of motor vehicles and motorcycles;G46;6 868
GRC;K;Retail trade, except of motor vehicles and motorcycles;G47;7 846
GRC;K;Land transport and transport via pipelines;H49;12 606
GRC;K;Water transport;H50;19 713
GRC;K;Air transport;H51;641
GRC;K;Warehousing and support activities for transportation;H52;893
GRC;K;Postal and courier activities;H53;479
GRC;K;Accommodation and food service activities;I;9 870
GRC;K;Publishing activities;J58;744
GRC;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;1 168
GRC;K;Telecommunications;J61;11 832
GRC;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;998
GRC;K;Financial service activities, except insurance and pension funding;K64;2 100
GRC;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;211
GRC;K;Activities auxiliary to financial services and insurance activities;K66;130
GRC;K;Real estate activities;L68;242 081
GRC;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;1 571
GRC;K;"Architectural and engineering activities; technical testing and analysis";M71;386
GRC;K;Scientific research and development;M72;1 266
GRC;K;Advertising and market research;M73;294
GRC;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;207
GRC;K;Administrative and support service activities;N;3 625
GRC;K;"Public administration and defence; compulsory social security";O84;72 279
GRC;K;Education;P85;8 807
GRC;K;Human health and social work activities;Q;3 820
GRC;K;Other service activities;R_S;8 595
GRC;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
GRC;K;Activities of extraterritorial organizations and bodies;U;0
HRV;K;Crop and animal production, hunting and related service activities;A01;22 302
HRV;K;Forestry and logging;A02;3 819
HRV;K;Fishing and aquaculture;A03;2 252
HRV;K;Mining and quarrying;B;31 925
HRV;K;Manufacture of food products, beverages and tobacco products;C10-C12;23 777
HRV;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;3 349
HRV;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;3 523
HRV;K;Manufacture of paper and paper products;C17;1 920
HRV;K;Printing and reproduction of recorded media;C18;3 227
HRV;K;Manufacture of coke and refined petroleum products ;C19;342
HRV;K;Manufacture of chemicals and chemical products ;C20;2 195
HRV;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;4 381
HRV;K;Manufacture of rubber and plastic products;C22;4 591
HRV;K;Manufacture of other non-metallic mineral products;C23;7 270
HRV;K;Manufacture of basic metals;C24;1 386
HRV;K;Manufacture of fabricated metal products, except machinery and equipment;C25;10 770
HRV;K;Manufacture of computer, electronic and optical products;C26;1 847
HRV;K;Manufacture of electrical equipment;C27;2 200
HRV;K;Manufacture of machinery and equipment n.e.c.;C28;1 400
HRV;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;303
HRV;K;Manufacture of other transport equipment;C30;1 253
HRV;K;"Manufacture of furniture; other manufacturing";C31_C32;1 198
HRV;K;Repair and installation of machinery and equipment;C33;1 151
HRV;K;Electricity, gas, steam and air conditioning supply;D35;40 033
HRV;K;Water collection, treatment and supply;E36;9 590
HRV;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;11 338
HRV;K;Construction;F;94 039
HRV;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;4 220
HRV;K;Wholesale trade, except of motor vehicles and motorcycles;G46;21 461
HRV;K;Retail trade, except of motor vehicles and motorcycles;G47;18 312
HRV;K;Land transport and transport via pipelines;H49;19 711
HRV;K;Water transport;H50;4 346
HRV;K;Air transport;H51;1 038
HRV;K;Warehousing and support activities for transportation;H52;13 998
HRV;K;Postal and courier activities;H53;5 237
HRV;K;Accommodation and food service activities;I;10 128
HRV;K;Publishing activities;J58;2 968
HRV;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;3 722
HRV;K;Telecommunications;J61;20 856
HRV;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;2 386
HRV;K;Financial service activities, except insurance and pension funding;K64;18 202
HRV;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;3 123
HRV;K;Activities auxiliary to financial services and insurance activities;K66;2 219
HRV;K;Real estate activities;L68;302 739
HRV;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;9 970
HRV;K;"Architectural and engineering activities; technical testing and analysis";M71;6 765
HRV;K;Scientific research and development;M72;1 805
HRV;K;Advertising and market research;M73;1 626
HRV;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;1 097
HRV;K;Administrative and support service activities;N;7 530
HRV;K;"Public administration and defence; compulsory social security";O84;83 675
HRV;K;Education;P85;17 548
HRV;K;Human health and social work activities;Q;13 678
HRV;K;Other service activities;R_S;22 460
HRV;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
HRV;K;Activities of extraterritorial organizations and bodies;U;0
HUN;K;Crop and animal production, hunting and related service activities;A01;5 848 064
HUN;K;Forestry and logging;A02;309 769
HUN;K;Fishing and aquaculture;A03;28 167
HUN;K;Mining and quarrying;B;387 000
HUN;K;Manufacture of food products, beverages and tobacco products;C10-C12;2 807 941
HUN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;308 242
HUN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;187 358
HUN;K;Manufacture of paper and paper products;C17;284 431
HUN;K;Printing and reproduction of recorded media;C18;196 767
HUN;K;Manufacture of coke and refined petroleum products ;C19;1 624 874
HUN;K;Manufacture of chemicals and chemical products ;C20;869 650
HUN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;1 280 014
HUN;K;Manufacture of rubber and plastic products;C22;1 082 577
HUN;K;Manufacture of other non-metallic mineral products;C23;612 926
HUN;K;Manufacture of basic metals;C24;411 945
HUN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;1 205 307
HUN;K;Manufacture of computer, electronic and optical products;C26;992 170
HUN;K;Manufacture of electrical equipment;C27;581 674
HUN;K;Manufacture of machinery and equipment n.e.c.;C28;1 693 480
HUN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;2 766 927
HUN;K;Manufacture of other transport equipment;C30;126 386
HUN;K;"Manufacture of furniture; other manufacturing";C31_C32;334 531
HUN;K;Repair and installation of machinery and equipment;C33;247 801
HUN;K;Electricity, gas, steam and air conditioning supply;D35;4 036 000
HUN;K;Water collection, treatment and supply;E36;1 023 121
HUN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;1 628 879
HUN;K;Construction;F;1 932 000
HUN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;585 547
HUN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;2 773 756
HUN;K;Retail trade, except of motor vehicles and motorcycles;G47;2 186 697
HUN;K;Land transport and transport via pipelines;H49;4 672 875
HUN;K;Water transport;H50;20 632
HUN;K;Air transport;H51;473 110
HUN;K;Warehousing and support activities for transportation;H52;3 291 986
HUN;K;Postal and courier activities;H53;818 397
HUN;K;Accommodation and food service activities;I;1 048 000
HUN;K;Publishing activities;J58;546 151
HUN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;874 070
HUN;K;Telecommunications;J61;1 958 366
HUN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;2 839 413
HUN;K;Financial service activities, except insurance and pension funding;K64;905 326
HUN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;98 049
HUN;K;Activities auxiliary to financial services and insurance activities;K66;187 625
HUN;K;Real estate activities;L68;35 528 000
HUN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;808 192
HUN;K;"Architectural and engineering activities; technical testing and analysis";M71;384 815
HUN;K;Scientific research and development;M72;303 108
HUN;K;Advertising and market research;M73;134 544
HUN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;227 342
HUN;K;Administrative and support service activities;N;1 133 000
HUN;K;"Public administration and defence; compulsory social security";O84;24 320 000
HUN;K;Education;P85;3 194 000
HUN;K;Human health and social work activities;Q;1 997 000
HUN;K;Other service activities;R_S;2 478 000
HUN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
HUN;K;Activities of extraterritorial organizations and bodies;U;0
IDN;K;Crop and animal production, hunting and related service activities;A01;867 789 030
IDN;K;Forestry and logging;A02;70 213 129
IDN;K;Fishing and aquaculture;A03;167 146 420
IDN;K;Mining and quarrying;B;707 886 360
IDN;K;Manufacture of food products, beverages and tobacco products;C10-C12;597 494 540
IDN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;315 673 490
IDN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;175 333 760
IDN;K;Manufacture of paper and paper products;C17;256 896 540
IDN;K;Printing and reproduction of recorded media;C18;10 995 001
IDN;K;Manufacture of coke and refined petroleum products ;C19;205 504 350
IDN;K;Manufacture of chemicals and chemical products ;C20;302 509 650
IDN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;114 639 340
IDN;K;Manufacture of rubber and plastic products;C22;156 176 510
IDN;K;Manufacture of other non-metallic mineral products;C23;373 158 360
IDN;K;Manufacture of basic metals;C24;1 153 957 600
IDN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;1 135 785 600
IDN;K;Manufacture of computer, electronic and optical products;C26;7 695 459
IDN;K;Manufacture of electrical equipment;C27;5 921 696
IDN;K;Manufacture of machinery and equipment n.e.c.;C28;9 269 457
IDN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;7 686 402
IDN;K;Manufacture of other transport equipment;C30;463 665
IDN;K;"Manufacture of furniture; other manufacturing";C31_C32;6 024 190
IDN;K;Repair and installation of machinery and equipment;C33;0
IDN;K;Electricity, gas, steam and air conditioning supply;D35;3 923 637 100
IDN;K;Water collection, treatment and supply;E36;333 519 000
IDN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;0
IDN;K;Construction;F;293 357 850
IDN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;512 917 610
IDN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;1 298 914 700
IDN;K;Retail trade, except of motor vehicles and motorcycles;G47;762 524 870
IDN;K;Land transport and transport via pipelines;H49;1 055 114 600
IDN;K;Water transport;H50;301 090 970
IDN;K;Air transport;H51;237 685 000
IDN;K;Warehousing and support activities for transportation;H52;191 515 580
IDN;K;Postal and courier activities;H53;139 475 950
IDN;K;Accommodation and food service activities;I;530 040 960
IDN;K;Publishing activities;J58;68 635 700
IDN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;104 054 400
IDN;K;Telecommunications;J61;3 484 857 600
IDN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;140 198 480
IDN;K;Financial service activities, except insurance and pension funding;K64;2 139 151 800
IDN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;577 214 360
IDN;K;Activities auxiliary to financial services and insurance activities;K66;0
IDN;K;Real estate activities;L68;1 962 099 800
IDN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;511 486 270
IDN;K;"Architectural and engineering activities; technical testing and analysis";M71;0
IDN;K;Scientific research and development;M72;0
IDN;K;Advertising and market research;M73;0
IDN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;0
IDN;K;Administrative and support service activities;N;584 721 300
IDN;K;"Public administration and defence; compulsory social security";O84;5 504 171 900
IDN;K;Education;P85;927 706 890
IDN;K;Human health and social work activities;Q;218 295 650
IDN;K;Other service activities;R_S;1 029 211 200
IDN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
IDN;K;Activities of extraterritorial organizations and bodies;U;0
IND;K;Crop and animal production, hunting and related service activities;A01;28 933 473
IND;K;Forestry and logging;A02;2 878 745
IND;K;Fishing and aquaculture;A03;1 807 980
IND;K;Mining and quarrying;B;9 368 119
IND;K;Manufacture of food products, beverages and tobacco products;C10-C12;9 159 043
IND;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;12 188 094
IND;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;1 543 635
IND;K;Manufacture of paper and paper products;C17;2 293 473
IND;K;Printing and reproduction of recorded media;C18;2 198 390
IND;K;Manufacture of coke and refined petroleum products ;C19;6 422 694
IND;K;Manufacture of chemicals and chemical products ;C20;7 534 963
IND;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;1 110 231
IND;K;Manufacture of rubber and plastic products;C22;3 412 905
IND;K;Manufacture of other non-metallic mineral products;C23;6 002 532
IND;K;Manufacture of basic metals;C24;8 680 857
IND;K;Manufacture of fabricated metal products, except machinery and equipment;C25;5 375 225
IND;K;Manufacture of computer, electronic and optical products;C26;1 429 357
IND;K;Manufacture of electrical equipment;C27;2 943 630
IND;K;Manufacture of machinery and equipment n.e.c.;C28;4 640 585
IND;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;5 272 186
IND;K;Manufacture of other transport equipment;C30;1 847 744
IND;K;"Manufacture of furniture; other manufacturing";C31_C32;5 173 654
IND;K;Repair and installation of machinery and equipment;C33;0
IND;K;Electricity, gas, steam and air conditioning supply;D35;23 048 840
IND;K;Water collection, treatment and supply;E36;3 163 365
IND;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;0
IND;K;Construction;F;11 553 404
IND;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;1 282 567
IND;K;Wholesale trade, except of motor vehicles and motorcycles;G46;8 974 832
IND;K;Retail trade, except of motor vehicles and motorcycles;G47;16 120 219
IND;K;Land transport and transport via pipelines;H49;16 847 214
IND;K;Water transport;H50;250 815
IND;K;Air transport;H51;368 530
IND;K;Warehousing and support activities for transportation;H52;991 779
IND;K;Postal and courier activities;H53;0
IND;K;Accommodation and food service activities;I;4 780 102
IND;K;Publishing activities;J58;0
IND;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;0
IND;K;Telecommunications;J61;11 162 325
IND;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;12 714 986
IND;K;Financial service activities, except insurance and pension funding;K64;1 987 194
IND;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;452 438
IND;K;Activities auxiliary to financial services and insurance activities;K66;0
IND;K;Real estate activities;L68;56 761 278
IND;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;1 319 424
IND;K;"Architectural and engineering activities; technical testing and analysis";M71;3 835 944
IND;K;Scientific research and development;M72;0
IND;K;Advertising and market research;M73;0
IND;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;0
IND;K;Administrative and support service activities;N;337 417
IND;K;"Public administration and defence; compulsory social security";O84;46 407 813
IND;K;Education;P85;11 108 482
IND;K;Human health and social work activities;Q;4 488 634
IND;K;Other service activities;R_S;8 033 203
IND;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
IND;K;Activities of extraterritorial organizations and bodies;U;0
IRL;K;Crop and animal production, hunting and related service activities;A01;6 935
IRL;K;Forestry and logging;A02;1 708
IRL;K;Fishing and aquaculture;A03;761
IRL;K;Mining and quarrying;B;1 762
IRL;K;Manufacture of food products, beverages and tobacco products;C10-C12;10 421
IRL;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;162
IRL;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;182
IRL;K;Manufacture of paper and paper products;C17;23
IRL;K;Printing and reproduction of recorded media;C18;121
IRL;K;Manufacture of coke and refined petroleum products ;C19;15
IRL;K;Manufacture of chemicals and chemical products ;C20;1 312
IRL;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;5 198
IRL;K;Manufacture of rubber and plastic products;C22;618
IRL;K;Manufacture of other non-metallic mineral products;C23;711
IRL;K;Manufacture of basic metals;C24;111
IRL;K;Manufacture of fabricated metal products, except machinery and equipment;C25;479
IRL;K;Manufacture of computer, electronic and optical products;C26;2 275
IRL;K;Manufacture of electrical equipment;C27;221
IRL;K;Manufacture of machinery and equipment n.e.c.;C28;786
IRL;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;242
IRL;K;Manufacture of other transport equipment;C30;3
IRL;K;"Manufacture of furniture; other manufacturing";C31_C32;13 711
IRL;K;Repair and installation of machinery and equipment;C33;1 137
IRL;K;Electricity, gas, steam and air conditioning supply;D35;13 124
IRL;K;Water collection, treatment and supply;E36;1 701
IRL;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;6 469
IRL;K;Construction;F;2 159
IRL;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;936
IRL;K;Wholesale trade, except of motor vehicles and motorcycles;G46;4 729
IRL;K;Retail trade, except of motor vehicles and motorcycles;G47;5 262
IRL;K;Land transport and transport via pipelines;H49;4 986
IRL;K;Water transport;H50;421
IRL;K;Air transport;H51;6 433
IRL;K;Warehousing and support activities for transportation;H52;3 769
IRL;K;Postal and courier activities;H53;1 638
IRL;K;Accommodation and food service activities;I;3 943
IRL;K;Publishing activities;J58;9 523
IRL;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;288
IRL;K;Telecommunications;J61;2 733
IRL;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;9 564
IRL;K;Financial service activities, except insurance and pension funding;K64;4 751
IRL;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;1 773
IRL;K;Activities auxiliary to financial services and insurance activities;K66;819
IRL;K;Real estate activities;L68;226 456
IRL;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;3 512
IRL;K;"Architectural and engineering activities; technical testing and analysis";M71;1 603
IRL;K;Scientific research and development;M72;349
IRL;K;Advertising and market research;M73;272
IRL;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;1 222
IRL;K;Administrative and support service activities;N;52 604
IRL;K;"Public administration and defence; compulsory social security";O84;39 784
IRL;K;Education;P85;9 772
IRL;K;Human health and social work activities;Q;6 981
IRL;K;Other service activities;R_S;2 893
IRL;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
IRL;K;Activities of extraterritorial organizations and bodies;U;0
ITA;K;Crop and animal production, hunting and related service activities;A01;191 680
ITA;K;Forestry and logging;A02;7 718
ITA;K;Fishing and aquaculture;A03;5 684
ITA;K;Mining and quarrying;B;25 802
ITA;K;Manufacture of food products, beverages and tobacco products;C10-C12;51 932
ITA;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;27 295
ITA;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;8 771
ITA;K;Manufacture of paper and paper products;C17;9 004
ITA;K;Printing and reproduction of recorded media;C18;8 192
ITA;K;Manufacture of coke and refined petroleum products ;C19;31 260
ITA;K;Manufacture of chemicals and chemical products ;C20;30 981
ITA;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;15 278
ITA;K;Manufacture of rubber and plastic products;C22;26 164
ITA;K;Manufacture of other non-metallic mineral products;C23;22 592
ITA;K;Manufacture of basic metals;C24;14 934
ITA;K;Manufacture of fabricated metal products, except machinery and equipment;C25;58 019
ITA;K;Manufacture of computer, electronic and optical products;C26;18 503
ITA;K;Manufacture of electrical equipment;C27;18 762
ITA;K;Manufacture of machinery and equipment n.e.c.;C28;44 738
ITA;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;28 763
ITA;K;Manufacture of other transport equipment;C30;15 725
ITA;K;"Manufacture of furniture; other manufacturing";C31_C32;18 540
ITA;K;Repair and installation of machinery and equipment;C33;13 362
ITA;K;Electricity, gas, steam and air conditioning supply;D35;222 906
ITA;K;Water collection, treatment and supply;E36;14 408
ITA;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;40 091
ITA;K;Construction;F;69 952
ITA;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;16 580
ITA;K;Wholesale trade, except of motor vehicles and motorcycles;G46;79 925
ITA;K;Retail trade, except of motor vehicles and motorcycles;G47;75 908
ITA;K;Land transport and transport via pipelines;H49;211 195
ITA;K;Water transport;H50;12 722
ITA;K;Air transport;H51;2 807
ITA;K;Warehousing and support activities for transportation;H52;129 645
ITA;K;Postal and courier activities;H53;19 109
ITA;K;Accommodation and food service activities;I;102 423
ITA;K;Publishing activities;J58;6 429
ITA;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;12 085
ITA;K;Telecommunications;J61;44 987
ITA;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;24 717
ITA;K;Financial service activities, except insurance and pension funding;K64;59 168
ITA;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;9 443
ITA;K;Activities auxiliary to financial services and insurance activities;K66;18 314
ITA;K;Real estate activities;L68;2 995 566
ITA;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;19 976
ITA;K;"Architectural and engineering activities; technical testing and analysis";M71;8 325
ITA;K;Scientific research and development;M72;13 584
ITA;K;Advertising and market research;M73;2 520
ITA;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;9 852
ITA;K;Administrative and support service activities;N;63 919
ITA;K;"Public administration and defence; compulsory social security";O84;601 358
ITA;K;Education;P85;37 911
ITA;K;Human health and social work activities;Q;90 291
ITA;K;Other service activities;R_S;60 468
ITA;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
ITA;K;Activities of extraterritorial organizations and bodies;U;0
JPN;K;Crop and animal production, hunting and related service activities;A01;68 584 139
JPN;K;Forestry and logging;A02;8 657 069
JPN;K;Fishing and aquaculture;A03;5 909 065
JPN;K;Mining and quarrying;B;2 856 478
JPN;K;Manufacture of food products, beverages and tobacco products;C10-C12;21 125 385
JPN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;6 380 079
JPN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;1 460 642
JPN;K;Manufacture of paper and paper products;C17;7 068 078
JPN;K;Printing and reproduction of recorded media;C18;4 919 606
JPN;K;Manufacture of coke and refined petroleum products ;C19;7 858 900
JPN;K;Manufacture of chemicals and chemical products ;C20;20 298 456
JPN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;7 149 865
JPN;K;Manufacture of rubber and plastic products;C22;10 750 358
JPN;K;Manufacture of other non-metallic mineral products;C23;6 249 300
JPN;K;Manufacture of basic metals;C24;28 700 349
JPN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;16 289 626
JPN;K;Manufacture of computer, electronic and optical products;C26;32 177 976
JPN;K;Manufacture of electrical equipment;C27;18 224 245
JPN;K;Manufacture of machinery and equipment n.e.c.;C28;15 231 223
JPN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;27 669 347
JPN;K;Manufacture of other transport equipment;C30;6 543 860
JPN;K;"Manufacture of furniture; other manufacturing";C31_C32;6 326 725
JPN;K;Repair and installation of machinery and equipment;C33;0
JPN;K;Electricity, gas, steam and air conditioning supply;D35;87 258 424
JPN;K;Water collection, treatment and supply;E36;37 420 669
JPN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;2 597 289
JPN;K;Construction;F;24 072 955
JPN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;4 447 661
JPN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;27 356 020
JPN;K;Retail trade, except of motor vehicles and motorcycles;G47;29 951 528
JPN;K;Land transport and transport via pipelines;H49;80 994 183
JPN;K;Water transport;H50;10 080 940
JPN;K;Air transport;H51;9 543 683
JPN;K;Warehousing and support activities for transportation;H52;42 182 947
JPN;K;Postal and courier activities;H53;1 459 262
JPN;K;Accommodation and food service activities;I;22 601 114
JPN;K;Publishing activities;J58;2 878 996
JPN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;6 055 257
JPN;K;Telecommunications;J61;52 407 884
JPN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;8 389 726
JPN;K;Financial service activities, except insurance and pension funding;K64;17 627 870
JPN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;6 737 572
JPN;K;Activities auxiliary to financial services and insurance activities;K66;0
JPN;K;Real estate activities;L68;393 519 730
JPN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;0
JPN;K;"Architectural and engineering activities; technical testing and analysis";M71;0
JPN;K;Scientific research and development;M72;3 683 776
JPN;K;Advertising and market research;M73;3 009 110
JPN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;9 878 402
JPN;K;Administrative and support service activities;N;47 499 414
JPN;K;"Public administration and defence; compulsory social security";O84;111 251 670
JPN;K;Education;P85;29 291 633
JPN;K;Human health and social work activities;Q;48 159 102
JPN;K;Other service activities;R_S;25 913 111
JPN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
JPN;K;Activities of extraterritorial organizations and bodies;U;0
KOR;K;Crop and animal production, hunting and related service activities;A01;100 272 690
KOR;K;Forestry and logging;A02;3 155 977
KOR;K;Fishing and aquaculture;A03;5 394 936
KOR;K;Mining and quarrying;B;2 022 533
KOR;K;Manufacture of food products, beverages and tobacco products;C10-C12;50 269 407
KOR;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;52 287 140
KOR;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;6 727 022
KOR;K;Manufacture of paper and paper products;C17;25 608 559
