PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU,,
M69-71,1008,245.52,4318.79,360.12,1498,1257.05,1221.55,862.87,2105,2708,765.25,491.59,1159.02,2662,1342,1770.36,1375,12915.19,18551,5223,2586.95,2446,2232.89,3117.75,6207,4197,47635,3635.67,1363,10147,3333.39,1167.97,1573.53,950.25,1171,976,0.00,0.00,154580.57,6826.32,0.00,0.00,6826.32,28500.10,0.00,68.00,68.00,28568.10,0.00,0.00,0.00,0.00,16267.00,51661.42,206241.99,,
M72,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,9,0,0,4.96,0,0,0,0,0,7.88,0,0,5,1307.19,6,49,0,0.27,0,0,0,0,0,0,1390,0,0,10199,10199,42898,0,-95,-95,42803,,,,,3006,56008,57398,,
M73-75,431,18.23,2865.72,259.11,373,187.98,1188.02,883.71,155,192,123.05,108.12,71.86,1249,485,178.53,217,521.17,4684,565,238.21,541,954.26,444.41,2559,152,787,329.22,2093,1324,1281.95,496.02,599.78,325.97,660,205,0.00,0.00,27746.05,3235.00,0.00,0.00,3235.00,0.00,0.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,2420.00,5695.00,33441.05,,
N,561,202.76,5313.36,450.91,1552,1049.64,1568.82,770.14,2860,3779,728.70,895.40,1315.26,2649,1666,2302.37,3863,12091.93,21207,8770,2067.52,1946,2958.42,2404.07,11607,4780,11527,5097.42,3201,19892,7040.94,3747.06,2842.64,1750.37,2133,2183,0.00,0.00,158773.86,8352.27,0.00,620.00,8972.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20101.00,29073.27,187847.13,,
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,176704,177353,0,0,0,0,0,,,,,0,177353,177353,,
P,134,20.48,311.24,43.66,87,137.54,225.52,107.32,212,217,116.82,93.99,138.68,502,222,376.76,105,478.81,1386,1356,133.76,111,435.73,398.65,721,78,626,236.75,238,459,548.26,794.24,1388.5,117.94,174,45,0,0,12778,11240,3485,89717,104442,0,0,0,0,0,,,,,0,104442,117220,,
Q86,0,0.52,38.85,5.06,7,20.75,12.75,2.67,9,22,3.19,3.48,7.25,20,10,17.59,19,69.35,73,53,68.1,15,22.24,22.97,256,14,31,40.09,20,114,208.89,9.3,1643.44,129.92,18,3,0,0,3012.95,26071,0,106579,132650,0,0,0,0,0,,,,,876,133526,136538.95,,
Q87_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18929,19689,28627,67245,0,0,0,0,0,,,,,0,67245,67245,,
R,0,0.00,51.90,6.00,18,24.30,28.18,18.88,31,48,11.74,8.65,18.42,44,27,27.19,40,44.96,921,203,305.85,87,56.69,101.10,6,88,304,65.28,60,361,282.44,155.91,35.15,84.93,2631,182,0.00,0.00,6378.66,14645.90,5724.00,16370.00,36739.90,86.43,0.00,7.00,7.00,93.43,0.00,0.00,0.00,0.00,797.00,37630.33,44008.99,,
S,71,0.00,536.50,38.00,67,220.79,180.92,49.12,133,129,58.85,71.83,160.48,643,367,219.45,127,529.77,1177,508,154.58,283,291.20,136.21,587,83,366,116.32,253,789,81.46,30.56,56.94,39.00,68,1860,0.00,0.00,10479.99,16118.00,10725.00,401.00,27244.00,1966.00,0.00,110.00,110.00,2076.00,0.00,0.00,0.00,0.00,1579.00,30899.00,41378.99,,
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,0,439,3990,0,0,0,0,0,,,,,0,3990,3990,,
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,
TOTAL,40376,3012.03,106598.92,11082.99,26466,44074.95,44024.22,13536.43,33970,57849,14525.69,14715.35,22058.57,81014,36004,75616.21,24631,154229.07,175291,85790,40805.26,27652,35979.72,24846.79,108110,49794,98414,23493.44,14472,67464,41499.18,19104.8,29490.44,10454.37,18969,12855,0,0,1688270.82,974699.03,39623,475411,1489733.03,411946.26,571,-3856,-3285,408661.26,,,,,489780.78,2388175.07,4076445.89,,
P2_ADJ,41382,3080.15,107520.54,11212.2,26636,45127.87,46697.4,13718.65,34279,58283,14619.26,14796.47,22257.83,81412,36322,76713.28,25677,155848.45,178048,89895,41807.75,28038,36610.68,25213.29,118735,52333,100744,24471.74,14765,68624,46998.3,20855.48,33102.12,11771.85,20722,13534,0,0,1741851.22,1088615,39623,476183,1604421,441067,681,-3856,-3175,437892,,,,,489780.78,2532093.78,4273945,,
D1,7721,931.15,21480.51,3432.85,8695,801,8149.76,3827.89,12397,18483,6615.5,4975.85,7975.85,13355,20685,10490.84,12286,67575.34,123880,57506,30113.75,13884,8687,29226.49,46839,16711,65358,16963.93,9696,63868,95682.14,84553.58,57238.53,50379.94,17262,17323,5162,0,1040212,,,,,,,,,,,,,,,,,,
D11,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
D29X39,-6422,75.03,839.4,208.06,592,259,793.9,331.15,931,1135,312.37,326.06,486.06,965,929,1135.52,586,3015.04,6916,3767,883.31,-311,710,914.85,4817,18779,2161,-251.83,391,2198,2261.25,-1241.18,3990.62,785,-194,404,-1172,0,52306,,,,,,,,,,,,,,,,,,
P51C,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
B2A3N,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,708464.17,,,,,,,,,,,,,,,,,,
B2A3G,27327,1292.68,20432.56,1050.89,1792,533.13,5109.94,7708.31,4120,5858,4358.87,1247.62,2839.26,7373,5533,13948.36,8063,39001.18,56542,24811,19210.19,9387,20339.32,11476.37,30140,198277,22769,12195.16,5363,34034,32411.31,13052.12,41938.72,4308.21,5716,8906,0,0,708464.17,,,,,,,,,,,,,,,,,,
B3G,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
B1G,28625,2298.85,42752.46,4691.8,11079,1593.13,14053.6,11867.35,17448,25476,11286.74,6549.53,11301.17,21693,27147,25574.72,20935,109591.55,187338,86085,50207.25,22960,29736.32,41617.71,81796,233766,90288,28907.26,15449,100100,130354.7,96364.52,103167.88,55473.15,22784,26632,3990,0,1800982.17,,,,,,,,,,,,,,,,,,
P1,70007,5379,150273,15904,37715,46721,60751,25586,51727,83759,25906,21346,33559,103105,63469,102288,46612,265440,365386,175980,92015,50998,66347,66831,200531,286099,191032,53379,30214,168724,177353,117220,136270,67245,43506,40166,3990,0,3542833.39,,,,,,,,,,,,,,,,,,
IMP,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
D21X31,1006,68.12,921.62,129.21,170,1052.92,2673.18,182.22,309,433,93.57,81.12,199.27,398,318,1097.07,1046,1619.37,2757,4105,1002.49,386,630.96,366.5,10625,2539,2330,978.3,292,1160,5499.12,1750.68,3611.68,1317.48,1753,679,0,0,53580.4,113915.98,0,772,114687.98,29120.74,110,0,110,29230.74,,,,,0,143918.71,197499.11,,
P7_B0,6237,10486,23208,9935,10272,8954,26280,12607,16263,25767,15054,12035,23130,44802,10126,785,1474,0,4555,14763,0,3332,1376,2145,2654,0,10720,2923,2123,12564,0,0,171,0,104,834,0,0,315679.48,,,,,,,,,,,,,,,,,,
P7_U2,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
P7_U3,0,,,,0,,,,0,0,,,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
P7_D0,4803,33385,7677,18247,2432,12743,11859,8551,4727,8646,28240,7870,10142,17618,10592,300,234,0,1721,8952,0,1449,1207,799,1614,0,4490,1096,1104,6559,0,0,98,0,399,379,0,0,217933.31,,,,,,,,,,,,,,,,,,
P7,11040,43871,30885,28182,12704,21697,38139,21158,20990,34413,43294,19905,33272,62420,20718,1085,1708,0,6276,23716,0,4781,2583,2944,4268,0,15210,4019,3227,19123,0,0,269,0,503,1213,0,0,533612.78,,,,,,,,,,,,,,,,,,
TS_BP,81047,49250,181158,44086,50419,68418,98890,46744,72717,118172,69200,41251,66831,165525,84187,103373,48320,265440,371662,199696,92015,55779,68930,69775,204799,286099,206242,57398,33441,187847,177353,117220,136539,67245,44009,41379,3990,0,4076446.17,,,,,,,,,,,,,,,,,,
