PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
D1,7793.12,1366.26,12693.14,12042.86,8234.61,2181.18,5610.49,3582.66,12699.27,21467.65,4034.73,6146.02,16853.81,9073.59,13553.88,4779.89,6881.78,35770.57,63894.69,34439.79,25698.5,5487.32,4895.07,13222.62,35709.62,3822.18,16796.71,8822.49,6552.12,25348.49,69427.4,56729.73,45906.22,9624.16,6487.69,6704.97,18006.42,0,642341.7,,,,,,,,,,,,,,,,
D11,6033.21,951.45,9200.79,8710.45,5833.88,1556.34,3987.9,2561.39,8919.13,15113.06,2882.78,4380.24,11926.29,6366.26,9710.28,3399.41,4908.81,25143.36,46637.47,25593.9,20666.34,3962.08,3479.42,9552.2,25178.42,2784.69,12276.97,6609.35,4845.72,18600.67,47977.64,38968.91,34460.19,7173.64,4901.33,5204.84,16284.42,0,466743.24,,,,,,,,,,,,,,,,
D29X39,-2485.14,229.19,676.1,558.16,408.52,192.27,323.65,250.79,630.72,930.73,198.75,222.74,641.3,250.12,687.03,1090.13,651.6,2482.33,4296,1266.28,1145.55,187.68,642.12,778.49,3862.81,2537.15,1336.52,446.64,431.08,1122.5,4095.27,2134.72,3267.02,330.41,302.18,372.59,0,0,36494,,,,,,,,,,,,,,,,
P51C,12405.78,1677.65,6176.06,3233.68,3340.98,2253.11,3820.86,1752.92,5347.43,8358.05,2203.82,2412.59,4996.98,4693.57,4791.69,11823.16,3881.64,8760.89,18703.03,19872.77,8021.38,2764.56,4185.11,6032.1,4852.82,0,4114.41,2607.37,1845.39,8453.92,28847.95,2394.33,6597.13,832.42,3020.46,1702.46,0,0,280120.18,,,,,,,,,,,,,,,,
B2A3N,9547.53,1382.99,6162.7,5695.69,3093.47,-799.55,770.12,1707.12,2166.86,5132.22,1612.63,1889.04,5078.41,1011.83,5165.05,5795.6,329.94,31659.35,68631.41,21008.43,22047.46,3901.9,13474.05,5865.37,30060.93,0,50308.34,1545.97,13239.87,9433.94,-801.94,2926.19,16656.74,1265.59,5104.39,11331.97,0,0,484290.64,,,,,,,,,,,,,,,,
B2A3G,21953.31,3060.63,12338.76,8929.36,6434.45,1453.57,4590.98,3460.04,7514.28,13490.27,3816.46,4301.62,10075.39,5705.4,9956.74,17618.75,4211.59,40420.24,87334.45,40881.21,30068.84,6666.46,17659.16,11897.47,34913.75,184230.75,54422.76,4153.33,15085.26,17887.86,28046.01,5320.52,23253.87,2098.01,8124.85,13034.43,0,0,764410.82,,,,,,,,,,,,,,,,
B3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1G,27261.28,4656.09,25708.01,21530.38,15077.59,3827.01,10525.12,7293.49,20844.28,35888.65,8049.94,10670.38,27570.5,15029.1,24197.65,23488.77,11744.97,78673.14,155525.15,76587.27,56912.9,12341.45,23196.34,25898.58,74486.18,190590.08,72555.99,13422.46,22068.46,44358.85,101568.69,64184.97,72427.12,12052.57,14914.72,20111.98,18006.42,0,1443246.52,,,,,,,,,,,,,,,,
P1,49538.11,9720.19,122608.12,76417.23,50867.49,57595.97,50173.16,20060.88,71178.23,135940.51,21302.27,38751.23,92981.19,59445.37,69763.03,74884.24,39774.64,242498.67,325976.09,172788.18,110674.13,30265.35,44754.29,52022.67,130531.91,223785.63,123894.73,27779.97,51355.39,102025.83,134423.2,75748.76,117366.86,23094.06,36551.73,33437.07,18006.42,0,3117982.8,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,425.32,84.18,601.42,810.73,293.48,414.85,830.73,112.44,640.94,626.8,107.03,184.88,528.05,344.1,721.03,-770.87,1150.21,1747.42,2931.01,4740.94,1579.47,154.3,84.82,675.37,4895.21,865.94,1114.45,540.84,465.15,1048.03,3668.51,1063.53,4415.88,829.26,1250.93,629.01,0,0,39805.39,104509.26,0,657.75,105167.01,15134.53,171.09,0.37,171.46,15306,417.14,387.35,29.79,572.47,989.61,121462.62,161268
P7_B0,7037.48,2406.98,20251.76,9110.93,7288.78,2356.67,24144.98,10472.09,8016.15,18903.63,21979.49,9036.6,16019.21,29575.18,5930.46,2444.83,2530.9,160.27,1812.29,8104.33,1467.94,1628.59,1654.59,2469.48,5661.19,737.76,2219.44,769.54,2481.85,7017.4,0,41.81,21.89,0,696.53,277.28,0,0,234728.31,,,,,,,,,,,,,,,,
P7_U2,5891.25,2071.02,17211.21,6402.24,5701.21,2078.63,21490.28,8817.69,6429.83,15573.39,17169.8,7145.6,13196.95,23008.24,4737.37,2148.46,2029.42,124.38,1316.89,6106.17,1146.25,1186.59,895.89,2085.77,5054.29,547.47,1636.34,451.77,1816.05,5229.38,0,35.21,7.2,0,510.76,237.27,0,0,189490.24,,,,,,,,,,,,,,,,
P7_U3,1146.23,335.96,3040.56,2708.69,1587.57,278.03,2654.69,1654.4,1586.32,3330.24,4809.7,1891,2822.27,6566.94,1193.09,296.37,501.48,35.89,495.4,1998.16,321.69,442,758.69,383.71,606.9,190.29,583.11,317.78,665.8,1788.03,0,6.6,14.7,0,185.77,40.02,0,0,45238.07,,,,,,,,,,,,,,,,
P7_D0,4890.14,54555.06,5529.89,15955.34,2989.86,8504.92,7933.55,6603.8,3502.86,16400.41,12260.98,4303.8,6552.02,8583.69,4919.52,421.62,1032.51,187.87,1462.47,5059.22,1535.03,709.45,1628.89,477.82,1742.81,373.38,1758.42,477.66,1673.08,3935.76,0,27.71,102.17,0,436.09,75.13,0,0,186602.92,,,,,,,,,,,,,,,,
P7,11927.62,56962.04,25781.65,25066.27,10278.64,10861.59,32078.53,17075.89,11519.01,35304.04,34240.47,13340.4,22571.23,38158.86,10849.98,2866.45,3563.41,348.15,3274.77,13163.55,3002.97,2338.04,3283.47,2947.29,7404.01,1111.14,3977.87,1247.2,4154.94,10953.16,0,69.52,124.06,0,1132.61,352.41,0,0,421331.23,,,,,,,,,,,,,,,,
TS_BP,61465.73,66682.23,148389.78,101483.5,61146.13,68457.55,82251.69,37136.77,82697.23,171244.55,55542.74,52091.63,115552.42,97604.23,80613.01,77750.69,43338.06,242846.82,329250.85,185951.73,113677.09,32603.39,48037.76,54969.96,137935.92,224896.77,127872.6,29027.18,55510.33,112979,134423.2,75818.28,117490.92,23094.06,37684.34,33789.48,18006.42,0,3539314.03,,,,,,,,,,,,,,,,
