PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
D29X39,-987,3,-16,-38,-2,-5,-5,-2,0,0,-16,-1,-7,-27,2,-6,-6,-2,-8,-1,-2,-7,-18,-86,-13,13,23,4,24,53,-1,-2,-4,2,-3,0,4,13,-25,165,-38,7,117,-2,-17,-169,-19,-4,6,-11,-1,-47,4,-10,5,-2,46,-25,3,0,0,,,-1142,,,,,,,,,,,,,,,,
P51C,639,58,5,363,470,214,159,122,117,21,273,90,474,490,351,434,610,325,438,1073,101,134,166,1955,263,238,1245,234,1801,1459,2,109,1825,50,390,90,399,1088,505,1100,135,34,5423,165,373,1250,93,80,547,13,7,184,3213,1316,468,50,238,58,24,17,40,,,33606,,,,,,,,,,,,,,,,
B2A3N,753,480,11,577,1000,108,310,153,183,-19,259,317,905,284,-43,1113,630,751,838,1906,218,374,511,3145,25,408,5143,722,4065,557,1,-58,615,13,1482,157,172,1239,903,2272,693,214,7071,1139,941,-34,247,430,186,5,27,271,13,118,957,101,313,84,5,342,719,,,46321,,,,,,,,,,,,,,,,
B2A3G,1393,538,16,940,1470,322,469,276,300,2,532,407,1380,774,308,1547,1240,1076,1275,2979,319,508,677,5100,288,646,6389,955,5866,2016,3,51,2440,64,1872,246,571,2327,1408,3373,828,247,12494,1304,1315,1215,340,510,733,18,33,454,3225,1434,1424,150,551,143,29,360,759,,,79927,,,,,,,,,,,,,,,,
B3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1G,1567,700,20,1633,2957,835,866,556,577,39,1001,572,2424,1523,713,3459,1740,2130,2861,5056,608,1185,1794,5556,334,1322,11072,1892,12739,4511,13,222,3416,660,3246,563,761,2935,3244,4990,1195,454,12628,2514,2427,2113,981,659,929,86,132,1785,9064,5597,4849,858,1046,279,327,547,949,,,141715,,,,,,,,,,,,,,,,
P1,5238,1394,66,3126,11874,2453,3190,2194,1694,4475,5316,1340,8233,4444,6964,10268,10995,6999,8992,25990,1986,3274,4517,14717,810,3770,38251,4606,26431,11005,58,1400,8464,1235,7051,1394,1743,5143,5940,7928,3147,1288,21235,5340,6466,2463,4879,2237,1767,403,1560,3727,13372,7282,8226,1287,2311,1015,789,998,1377,,,366141,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,98,30,0,6,23,17,38,8,6,31,262,-3,70,35,143,40,12,8,24,104,10,7,7,71,3,46,236,30,501,393,2,109,153,48,121,1,30,26,41,73,12,9,163,70,43,40,21,20,11,2,13,32,465,125,190,40,82,34,32,10,32,,,4307,8686,3,188,8877,1412,0,-55,-55,1358,,,,,462,10696,15003
P7_B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7_D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,1670,137,20,7428,4509,3089,565,1780,33,2002,6278,3049,4387,1303,7181,3654,14960,6320,6591,9426,667,2150,46,865,5,351,340,57,146,648,120,383,678,258,1489,596,248,419,792,361,419,68,154,1343,322,316,394,55,927,25,172,139,65,51,161,1,37,23,2,96,14,,,99784,,,,,,,,,,,,,,,,
TS_BP,6908,1532,86,10554,16383,5542,3755,3974,1728,6477,11594,4389,12620,5746,14146,13922,25955,13319,15583,35415,2653,5424,4563,15582,815,4121,38591,4663,26577,11653,178,1783,9142,1493,8540,1991,1991,5562,6732,8289,3566,1356,21388,6684,6788,2779,5273,2292,2695,429,1733,3866,13437,7333,8387,1288,2348,1039,791,1094,1392,,,465924,,,,,,,,,,,,,,,,
