PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
S95,1,0,0,4,0,2,0,0,2,0,4,0,0,1,0,0,0,2,0,2,0,0,0,0,0,26,6,0,79,62,40,5,41,23,9,22,7,27,1,97,148,30,62,19,29,33,42,15,6,9,30,2,26,1473,205,504,104,20,33,2,71,12,0,0,3335,2225,0,0,2225,0,0,0,0,0,0,,,0,1035,3261,6596
S96,0,1,16,8,10,0,0,0,5,1,6,5,2,8,6,7,8,0,2,0,14,6,5,26,0,30,28,0,27,131,27,51,117,56,147,317,14,122,77,73,356,23,13,16,76,73,27,140,36,197,93,5,29,421,87,400,391,50,28,7,1,216,0,0,4040,18427,0,0,18427,0,0,127,127,127,0,,,0,139,18692,22733
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7194,0,0,7194,0,0,0,0,0,0,,,0,15,7209,7209
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
TOTAL,14409,609,595,17283,57334,5774,4845,9034,5735,24798,30797,9940,12508,10390,15421,17801,12987,8295,14268,31069,15499,8989,9963,80212,2127,13937,138196,22603,68670,58017,30373,10798,10809,22367,7786,51477,8152,14384,22702,32423,61768,41095,13969,81315,31593,20878,17250,15445,9857,12613,14018,8025,29022,67382,31831,66454,47326,13195,7223,7131,2213,5020,0,0,1538002,1017064,59318,392360,1468741,280373,214,5006,5220,285593,0,,,0,509681,2264015,3802018
P2_ADJ,14946,596,659,17599,57761,5817,4895,9126,5771,26125,31416,9989,12645,10575,15805,17924,13050,8383,14397,31210,15594,9088,10031,81342,2202,15077,144570,22899,69956,59482,31833,11017,11747,22493,8589,56346,8204,14528,22967,33005,66742,43704,14977,84561,31782,21054,17785,15616,9932,12804,14139,8085,29825,77703,35635,73687,49897,13986,7738,7645,2227,5688,0,0,1604873,1111238,59318,392360,1562915,291660,244,4995,5239,296899,0,,,0,521143,2380957,3985830
D1,4354,166,112,5546,18418,3477,1819,3292,3524,3140,5868,4916,6455,3845,2642,11328,6562,3742,7389,7233,6000,4605,5142,7022,1217,6396,56720,20532,40509,49310,20524,3786,4135,13157,9416,33849,5558,5688,12562,35079,43760,8436,17121,13745,30111,16936,13700,9002,8632,10289,12734,5791,19595,71939,93206,69076,25495,8441,2481,12965,2614,4629,6613,0,952343,,,,,,,,,,,,,,,,
D11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D29X39,-2897,1,15,148,359,79,73,107,115,56,169,37,184,162,126,305,115,69,147,139,73,169,93,1246,451,228,1372,873,1659,6239,-70,13,1,767,254,2898,122,145,516,661,5084,633,239,-877,899,403,-1056,268,206,326,178,84,427,0,273,107,142,335,336,118,44,239,0,0,25629,,,,,,,,,,,,,,,,
P51C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2A3N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2A3G,8048,103,483,27348,5036,1823,695,1148,1240,2103,3299,10028,1690,856,430,1913,3328,1081,1900,1529,803,3039,2175,8675,3030,7342,46044,8306,20137,28402,8312,984,2456,2849,2073,19352,3157,6712,12021,16276,34248,15589,4601,164362,25948,5368,7914,5176,4138,8537,8945,2206,12939,18556,12932,17829,3406,8866,1506,2302,681,12003,558,0,654831,,,,,,,,,,,,,,,,
B3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1G,9505,269,610,33043,23813,5380,2587,4546,4879,5298,9336,14981,8329,4862,3196,13547,10005,4891,9436,8901,6877,7813,7410,16943,4699,13966,104136,29711,62304,83950,28765,4782,6592,16774,11743,56098,8836,12545,25099,52016,83091,24658,21962,177231,56956,22707,20557,14446,12976,19150,21858,8081,32961,90495,106411,87012,29044,17642,4322,15384,3339,16873,7172,0,1632803,,,,,,,,,,,,,,,,
P1,24451,865,1268,50642,81575,11197,7482,13673,10650,31423,40752,24970,20974,15438,19001,31471,23056,13274,23833,40111,22470,16901,17441,98284,6901,29044,248706,52610,132260,143432,60599,15799,18339,39266,20332,112444,17040,27074,48066,85021,149833,68362,36939,261792,88738,43761,38343,30062,22908,31955,35997,16166,62786,168198,142046,160699,78941,31628,12061,23029,5565,22560,7172,0,3237676,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,536,-13,64,317,427,43,50,91,36,1327,619,49,136,184,384,124,64,87,128,141,93,99,68,1130,75,1141,6374,296,1286,1465,1461,219,938,125,803,4869,52,145,266,582,4974,2608,1008,3247,189,176,535,171,75,191,121,62,803,10320,3803,7233,2572,792,515,514,14,668,0,0,66870,94174,0,0,94174,11288,29,-10,19,11306,0,,,0,11461,116941,183812
P7_B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
P7_U2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
P7_U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
