PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
C30,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0.1,101.4,0,66.2,0,0,0,0.1,1,0,0,81.1,0,7.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.6,0,0,0.1,0,0,0,0,0,266.7,79.9,0,0,79.9,129,0,-60.5,-60.5,68.5,288.1,,,126.4,414.5,562.8,829.5
C31_32,4.2,0.4,0,0.4,2.7,1.2,8.8,0.2,0.1,0.2,0.5,0,2.3,2.6,0.8,7.1,4.3,4,2.4,6.6,0.3,13.9,4.5,0.7,0.1,0.4,24.4,4.1,32.6,27,1.5,0,0,0.4,0.1,52.1,0.7,1.8,0.6,5.6,10.2,0.1,0.2,7.4,5.1,0.1,0.6,2.6,0.5,3.7,0.4,1.6,4.5,9.4,15,72.4,2.2,3.1,7,1.9,3.2,0.1,0,0,371,623.5,0,76.9,700.5,54.6,0,-3.5,-3.5,51.1,1064.9,,,171.8,1236.6,1988.2,2359.2
C33,21.3,1.9,0,13.9,31,5.5,7.1,23.3,3.2,38.2,30.6,6.2,16.8,21.8,82.7,13.2,22.2,10.7,33.4,100.8,20.1,5.2,197.6,157.5,12.4,12.8,57.3,2.7,64.2,25.9,19.6,1.4,0.2,30,2.5,8,1.1,4.1,2.1,1.9,2.5,0.3,0.5,17.9,2,129.3,2.3,5.5,25.3,17.2,0.2,0,6,79.4,3.8,131,1.3,0.7,14.5,1.8,0.1,2.2,0,0,1554.2,6.3,0,0,6.3,0.1,0,4.7,4.7,4.8,0,,,0,0,11.1,1565.4
D,97.2,3.1,0.7,18.1,111.9,26,23.5,47.3,4.3,99.1,218.6,12,44.9,68.3,241.8,84.5,22.1,23.7,34.1,130.7,3.6,11.7,8.7,4307.1,20.9,21.7,27.5,40.5,103.6,140.7,260.8,1.9,0.2,27.5,12.7,105.6,3.8,25.2,32.4,12.4,11.2,4.1,1.2,77.7,39.6,5.2,19.2,14.4,17.4,13.6,1.7,2.5,17.1,221.2,168.6,93.8,32.6,17.4,23.9,26.8,0.9,30.3,0,0,7320.6,3029,0,0,3029,0,0,146.9,146.9,146.9,29.5,,,4.8,34.3,3210.2,10530.8
E36,1.5,0.1,0,0,1.5,0.5,0.1,0.7,0,0.2,2.1,0.2,0.2,0.4,0.9,2,0.3,0.1,0.3,1.7,0,0,0.1,8.2,3.3,1.9,0.3,0.5,0.8,1,0.2,0,0,0.4,0,1.1,0,1.3,0,0,0.1,0,0,8.2,0.3,0.1,1.3,0.1,0.1,0.1,0,0,0.2,23.3,16.8,5.3,4,0.8,1.4,2.1,0,0.1,0,0,95.9,221.7,0,0,221.7,0,0,2.9,2.9,2.9,0,,,0,0,224.6,320.5
E37-39,2.4,0,0,0.4,9.4,1.9,0.4,3.4,0.4,0.3,5.1,2.1,2.7,4.8,14.3,2,3,1.6,4.6,13.6,0.8,0.9,2.9,58.7,3.8,24.8,7.6,2.3,8.7,7.3,0.8,0.1,0,0.9,0.2,1.6,0.2,3.9,0,0.2,0,0,0,1.7,1.3,0.5,0.5,0.3,0.8,0.4,0,0,2.4,119.5,4.5,12,1.5,0.2,0.8,2.1,0.1,0.6,0,0,347.3,301.5,0,27.3,328.8,0,0,17.1,17.1,17.2,426.4,,,7.8,434.2,780.2,1127.4
F,30.6,9.3,0.1,16.1,13.3,3.9,1,0.5,0.4,0.6,11.6,0.1,16.8,9.4,9.4,35.5,12.4,37.6,22.7,5.3,4.5,4.2,36.2,54.4,15,29.7,4658.9,16.1,104.2,74.3,68,0.1,0.1,99.1,6.8,17.4,0.1,10.1,22.3,16.5,4.2,2,0.6,1002.9,14.3,40.7,6.8,3.3,18,8.5,6.5,43.8,41.5,63.8,59.9,33.2,5.4,3.2,4.5,17.8,1.4,13.1,0,0,6869.4,572.2,0,7,579.2,6553.3,0,0,0,6553.3,95.9,,,29.5,125.4,7257.9,14127.3
G45,17.3,4.3,0.5,1.3,18,1.9,10.4,0.8,0.5,0.1,2,0.9,10.4,2.1,1.5,5.5,4.5,10.2,7.9,253,6.1,2.9,11.9,4.5,2.5,17.7,28,143.4,51.2,40.4,183.3,0.2,1.7,9.2,6,7.8,2.3,2.1,5.1,10.5,4.8,1.5,1.2,4.1,11.8,0.3,1.8,7.1,4.2,52.3,1.3,0.7,8.2,14,3.6,13,0.8,1.3,1.6,1,0.8,5.4,0,0,1030.5,396,0,0,396,141.6,0,0,0,141.6,56.8,,,0,56.8,594.5,1624.9
G46,116.7,4.8,0.5,13.9,242.5,65.8,66.2,120.3,15.4,79.4,150.2,8.3,216.1,113.7,190.5,279.3,589.2,208.2,173.4,286.1,16.1,60,64.3,125.4,4.1,15,401.7,22.2,601.5,220.6,84.2,0.9,0.8,7.5,1,59.5,20.2,2.4,16.2,34.6,14.8,1,1,41.6,25.3,13.1,7.7,32.1,9.5,24.9,2.2,2.5,31.9,32.3,36,74.2,10.8,2.7,4.3,5.5,8.6,0.2,0,0,5080.4,995.3,0,167.7,1162.9,572.3,0,0,0,572.3,507.3,,,16.7,524,2259.2,7339.6
G47,43.6,2.3,0.2,4.2,94.1,24.9,27.1,33.9,6.6,25.8,63.7,3.4,91.7,40,72.8,94.2,246.1,83.8,70.9,228.6,7.5,26,21.5,55,1.9,5.5,170.1,0.5,59.3,34.3,46.5,0.3,0.9,3.3,0.3,25.9,9.5,1,5,3.4,2.5,0.4,0.4,9.2,2.8,5.8,3.6,7,3.1,3.8,0.4,1.2,7.9,14,15.5,32.2,4.7,1.3,1.6,2.5,3.3,0.6,0,0,1859.1,2934.2,0,72.6,3006.8,309.5,0,0,0,309.5,219.2,,,0,219.2,3535.5,5394.5
H49,23.8,14.2,0.3,29.5,151.7,26.1,58.8,70.8,4.5,44.3,55.1,2.6,71,104,217.4,83.2,170.6,55.3,63,311.4,6.6,16.9,30.3,18.3,5.2,13.1,183.5,14.2,181.7,119.3,487.6,0,0.3,539.3,21.9,13.5,8.2,1,3.7,8.6,1,0.6,0.7,9.7,60.8,0.2,3.5,9.1,1.6,11.5,0.6,1.1,13.4,20.4,9.8,10.1,2.2,3,7.7,7.5,0.9,0.9,0,0,3407,1094.1,0,102.1,1196.3,108.4,0,0,0,108.4,1042.5,,,257,1299.5,2604.2,6011.1
H50,0.1,0,0,0,0.3,3,0.1,0.1,0,1.9,0.1,0,0.3,0.3,7.1,0.4,1.2,0.5,0.2,0.7,0.1,0.3,0.7,0.1,0.1,0.1,1.5,0,1.9,0.4,4,0.4,0,25.8,0,0.1,0,0,0,0.1,0,0,0,0.1,0.2,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,52.7,79.8,0,0,79.8,0.9,0,0,0,0.9,7.7,,,1.5,9.2,89.9,142.6
H51,0,0,0,0,0.1,2.5,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,1.9,0.3,0.4,0.4,0,0,0.2,0.2,0,0,0.7,0,0.4,0.2,1.2,0,1.4,7.8,5.2,0.4,0,0.4,0.1,0.2,0,0,0,0,0.5,0,1.6,0.1,0.1,0.4,0,22,0,9.1,0.2,0.1,0.5,0.1,1.2,0.5,0,0,0,0,60.8,108.5,0,0,108.5,0.3,0,0,0,0.3,34,,,3.3,37.2,146,206.8
H52,0.7,0.6,0.1,0.6,21.7,0.2,1.3,12.7,1.8,0.6,4,0,14.5,1.3,75.6,0.2,6.6,1.6,0.9,44.2,3.2,0.7,26.5,174,0.2,6.2,42.3,1.7,27.9,14.5,590.1,10.9,1.3,927,1,0,1.4,2.9,3.7,1.4,0.3,0.3,0.5,7.5,1.4,0.2,1.9,1.7,0.2,0.1,0.5,0,4.8,54,0.2,0.2,0,0.1,0,0.1,0,0.3,0,0,2100,79.9,0,170.2,250.1,0.1,0,24.2,24.2,24.2,137.8,,,42.4,180.2,454.5,2554.5
H53,1,0.1,0.1,0.2,1.2,0.7,0.4,0.4,2.5,1,0.7,0,0.1,0.5,1.1,0.9,1.9,1.4,0.6,1.2,0.2,0.4,1,11.8,2.1,1.2,1.3,2,16.5,11.8,2.1,0,0.4,2.5,128.9,1,6.5,1.8,17.1,5.4,13.6,11.7,1.6,1.1,4.6,0.1,1,7.4,0.3,1.1,0.2,1.1,0.6,58.1,4.3,3.2,0.6,1,0.4,2.6,0.5,1.3,0,0,346.1,108.6,0,0,108.6,0,0,0,0,0,50.7,,,15.1,65.8,174.4,520.5
