PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
D,185,45.78,661.89,154.16,339,268.84,1704.01,51.72,448.59,899.89,20.45,46.57,62.22,96,71,2008.16,193,247.19,743.49,315,160.35,13,84.41,95.4,117,1063.75,177.56,226.91,27,103.37,162.64,79.17,115.13,192.14,76,81.54,0,0,11338.72,5359.25,0,201.6,5560.85,0,0,0,0,0,4270.41,4005.81,264.61,97.42,4367.83,9928.68,21267.4
E,10,9.98,91.81,16.74,403,43.97,351.97,19.33,48.00,3501.69,2.01,1.27,4.00,26,18,279.55,4544,271.93,133.23,78,47.36,2,2.64,3.32,21,79.34,25.42,58.50,7,59.97,143.02,9.16,48.46,41.41,17,20.74,0.00,0.00,10440.71,1550.10,0.00,1399.78,2949.87,0.00,0.00,114.04,114.04,114.04,1186.96,1139.92,47.04,933.19,2120.15,5184.07,15624.78
F,96,21.25,101.78,10.06,17,32.51,163.48,22.01,21.12,129.72,6.2,31.79,38.05,27,132,525.8,263,16259.4,270.52,250,81.34,22,25.65,30.79,21,2199.19,198.31,79.75,9,394.50,301.52,100.79,89.3,110.35,62,76.39,0,0,22220.66,507.38,0,0,507.38,31745.1,0,0,0,31745.1,1628.61,1340.8,287.81,548.56,2177.17,34429.65,56650.31
G,826,15,2839,501,777,444,1352,370,810.83,1620.54,263,319,728,696,574,309,275,3320,2926.54,869,1041,170,333,97,73,141.06,157.73,80,173,904.74,237,52,1163,218,73,255.27,0,0,25002,29586,6,1774,31367,5931,0,559,559,6490,13956,11206,2750,5382,19338,57195,82196
H,190,110.02,1170.62,209.21,537,156.41,1191.96,73.02,613.92,776.63,38.67,84.94,247.17,367,209,345.42,317,581.83,7747.73,16283,41.85,396,100.22,98.60,549,199.57,627.88,136.14,107,2735.37,668.89,126.58,269.07,232.20,118,339.32,0.00,0.00,37995.17,2905.12,0.00,6363.40,9268.52,0.00,0.00,0.00,0.00,0.00,13799.17,10625.95,3173.23,6786.06,20585.23,29853.75,67848.91
I,10,2.02,20.68,8.32,8,5.38,23.16,10.8,18.84,56.88,9.21,11.48,20.68,12,56,26.84,6,151.01,806.41,645,34.07,109,32.62,95.66,524,54.83,496.18,64.76,14,947.71,74.5,187.88,233.61,94.63,181,339.08,0,0,5392.34,9271.3,0,0,9271.3,0,0,0,0,0,887.37,747.07,140.3,453.52,1340.89,10612.19,16004.53
J58-60,2,0.35,244.32,11.55,7,6.86,9.18,1.60,6.11,8.38,6.25,2.93,3.93,10,35,39.16,3,56.21,937.05,139,20.40,934,49.09,283.68,81,51.05,99.14,31.36,1664,117.73,22.25,84.06,36.27,14.28,66,28.71,0.00,0.00,5112.55,2087.37,0.00,506.07,2593.44,1019.08,0.00,0.00,0.00,1019.08,1126.82,1028.38,98.44,165.49,1292.31,4904.83,10017.39
J61,1,0.85,10.67,5.24,6,5.87,34.44,4.92,12.41,33.45,4.14,2.93,10.16,3,28,68.57,20,91.27,428.06,339,40.23,57,3582.24,258.4,985,131.03,628.47,153.57,35,202.34,190.87,23.17,114.67,58.34,31,107.78,0,0,7709.53,4082.55,0,0,4082.55,0,0,0,0,0,1637.95,1089.95,548,1101.95,2739.9,6822.45,14531.98
J62_63,1,11.47,47.29,6.24,6,24.92,70.88,11.02,20.06,17.07,22.61,16.47,41.8,18,53,9.38,6,80.18,714.81,181,10.46,61,1052.8,4678.29,1035,102.96,547.09,28,76,801.15,212.07,26.04,247.55,5.32,30,54.85,0,0,10328.07,0,0,0,0,4055.7,0,0,0,4055.7,2508.41,1658.69,849.73,640.87,3149.28,7204.98,17533.06
K,269,10.38,344.92,60.84,163,245.54,699.57,112.78,236.51,649.67,36.22,49.66,85.59,169,119,146.50,110,799.00,1902.85,1020,422.50,116,282.03,502.24,8400,3075.98,3053.68,244.71,259,982.86,132.06,164.40,400.36,163.32,150,223.47,0.00,0.00,25802.90,11460.72,0.00,0.00,11460.72,0.00,0.00,0.00,0.00,0.00,4700.31,3303.62,1396.70,1760.85,6461.16,17921.87,43724.78
L,29,9,109,25,50,1,23,0,18.29,66.56,9,4,8,16,113,34,13,623,2948.29,1044,538,69,178,250,644,1424.95,1561.26,203,55,446.39,712,194,367,231,151,283.70,0,0,12450,29280,0,79,29359,89,0,0,0,89,16,1,16,4,20,29468,41918
M69-71,164,72.57,441.38,192.18,177,252.85,883.70,313.37,292.85,566.09,219.36,107.71,189.91,212,444,1348.10,373,1549.67,6845.74,2912,492.66,356,262.72,1549.21,3610,1320.64,11484.34,749.32,1660,2123.38,1438.99,41.84,771.02,259.05,397,958.47,0.00,0.00,45031.45,570.82,0.00,0.00,570.82,977.86,0.00,0.00,0.00,977.86,7727.73,5483.93,2243.80,4708.02,12435.75,13984.44,59015.89
M72,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,1213.54,0,0.00,0,0,0,0,0,0.00,0,0,1213.54,0,43.22,1586.9,1630.12,7600.85,0,0,0,7600.85,1616.12,680.89,935.23,949.98,2566.1,11797.07,13010.62
M73-75,302,0.51,126.96,11.56,30,0.05,30.68,202.08,7.73,24.22,13.58,3.31,12.46,7,35,90.64,3,170.39,2362.67,184,130.23,287,125.18,122.87,659,100.85,280.56,80.05,1474,181.57,77.40,184.31,18.08,1.52,192,175.44,0.00,0.00,7707.76,273.05,0.00,0.00,273.05,0.00,0.00,0.00,0.00,0.00,1154.94,875.70,279.24,2262.22,3417.15,3690.21,11397.96
N,131,36.7,813.1,111.8,211,92.4,490.0,598.7,390.02,578.31,83.8,120.8,155.3,239,291,306.0,204,1357.7,3405.61,2460,466.3,468,162.4,680.1,1085,1016.82,1556.61,815.8,335,4435.32,234.2,158.7,1193.9,240.9,357,246.79,0.0,0.0,25529.4,6191.0,0.0,0.0,6191.0,286.9,0.0,0.0,0.0,286.9,3044.2,1857.0,1187.2,1154.6,4198.7,10676.6,36206.0
O,1,0.01,1.03,0,0,0,0,0,0.68,7.72,0.05,0.02,0.08,0,1,4.06,0,11.85,1.05,3,1.88,3,0,6.34,11,0.71,3.70,0.18,0,0.27,0,0,10.12,5.59,2,2.72,0,0,78.53,2124.17,0,26244.54,28368.71,0,0,0,0,0,1230.33,0,1230.33,0,1230.33,29599.04,29677.57
P,0,0.01,13.83,0.83,1,1.98,1.72,9.59,3.05,11.63,0,1.34,1,0,16,17.82,5,21.95,56.47,61,7.5,2,17.44,74.48,115,16.47,81.35,173.43,3,58.16,3.63,892.66,18.85,31.4,4,25.54,0,0,1750.42,1007.1,299.05,20707.02,22013.17,0,0,0,0,0,31.16,18.59,12.57,16.28,47.44,22060.61,23811.03
Q86,0,0.14,3.36,4.19,1,0,2.94,1.61,1.48,2.65,0.57,0.83,1.08,2,1,0,2,7.75,26.90,27,1.28,0,2.18,0.63,3,0.81,12.75,1.14,0,7.47,15.91,2.68,4047.63,97.26,8,6.46,0,0,4295.34,5486.13,0,18713.6,24199.73,0,0,0,0,0,2.28,2.27,0.01,0.81,3.09,24202.82,28498.16
Q87_88,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0,5420.22,1411.06,5517.4,12348.69,0,0,0,0,0,10.37,3.64,6.73,6.88,17.25,12365.94,12365.94
R,16,0.37,48.36,4.56,19,0.00,4.37,1.78,8.62,14.17,0.05,4.69,4.41,5,9,9.95,4,69.06,48.45,27,88.45,58,23.25,22.55,91,10.23,36.32,5.01,24,64.78,44.27,14.47,60.44,2.10,650,23.95,0.00,0.00,1517.40,2252.26,304.81,1525.90,4082.97,175.04,0.00,0.00,0.00,175.04,149.04,129.19,19.85,82.31,231.35,4489.36,6006.76
S,7,0.08,30.57,2.48,9,4.73,13.66,7.82,27.47,10.05,2.33,7.37,4.77,9,7,30.87,4,20.95,375.02,407,53.38,13,7.53,103.02,176,40.53,168.63,17.71,7,194.55,11.10,28.13,288.40,69.50,8,891.70,0.00,0.00,3059.84,3722.95,2664.94,0.00,6387.89,0.00,0.00,0.00,0.00,0.00,10.78,7.40,3.38,35.79,46.57,6434.46,9494.29
T,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0,448.5,0,0,448.5,0,0,0,0,0,0,0,0,0,0,448.5,448.5
U,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,5875,562.8,26085.95,3656.71,7371,22057.92,26987.57,3819.04,8169.38,23569.53,2029.78,2617.66,5431.36,12482,5389,6794.13,6767,39213.48,37174.03,30648,7539.52,4070,6708.02,9074.45,18418,11434.14,22306.92,4808.14,6416,15949.22,5603.99,2548.9,12932.5,2792.18,2916,4725.00,0,0,414945.27,160568.48,4733.9,85606.95,250909.33,72547.62,0,3244.94,3244.94,75792.56,192296.84,152701.1,39595.74,79909.2,272206.04,598907.93,1013853.2
P2_ADJ,6209,570.75,26212.75,3725.29,7404,22133.84,27199.99,3835.45,8256.70,23668.16,2042.46,2635.13,5456.02,12534,5449,6822.02,6891,39559,37435.50,31492,7888.79,4080,6731.51,9141.3,19374,12011.82,23377.95,4926.5,6436,16217.50,6477.39,2960.12,14188.33,3114.81,3008,5109.91,0,0,424575.25,181783.69,4744.45,85998.9,272527.05,79664.8,0,3183.9,3183.9,82848.7,192532.5,152893.9,39638.6,79937.1,272469.6,627845.34,1052420.59
D1,397,171.62,3547.46,984.1,1978,210.33,3349.05,1215.72,2838.51,4404.46,623.8,978.05,1895.16,2081,3051,1830.63,1654,7491.88,23923.37,12540,3096.17,1476,1943.99,4543.68,8799,1039.83,7469.90,4168.94,960,11667.26,21253.7,18557.99,8708.16,9521.8,1676,2732.70,448.5,0,183228.61,,,,,,,,,,,,,,,,
