PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,3233,1117,28,965,11786,1853,5150,4121,1624,3661,10877,1512,3141,3302,9673,6445,2308,4085,9782,8083,2373,3946,4136,17296,282,3323,26914,3496,12673,6592,6882,72,2488,2998,1075,7620,2037,1332,3704,5098,5521,3215,1822,12424,7832,3651,2180,3800,988,2280,510,1708,2319,6167,2081,5651,1769,925,607,1181,416,836,0,0,274964,136776,5338,59504,201617,60918,1444,1405,2849,63767,103440,76715,26725,34086,137526,402911,677875
P2_ADJ,3284,1137,29,987,11820,1865,5182,4140,1631,3696,10902,1521,3160,3351,9763,6483,2317,4095,9811,8100,2380,3995,4155,17393,287,3404,27113,3530,12830,6758,7237,73,2501,3042,1108,7953,2042,1339,3723,5130,6058,3477,1893,12967,7911,3675,2292,3856,1005,2318,514,1724,2357,7058,2487,6535,1953,993,635,1388,435,866,0,0,281662,158473,5338,60048,223859,63759,1570,1409,2979,66738,103823,77073,26751,34109,137932,428529,710191
D1,162,199,2,233,2199,587,953,799,529,103,591,369,1006,1233,1403,2459,728,1428,2748,1055,397,1289,1948,1590,115,847,9854,2290,8604,7168,3791,12,445,2329,988,5785,682,505,829,3426,5370,1740,563,1545,4920,2210,3685,732,375,370,3260,330,2357,10894,11181,9463,3704,1334,437,1541,272,764,177,0,138905,,,,,,,,,,,,,,,,
D11,132,164,2,195,1840,491,799,648,444,87,496,302,860,1026,1175,2084,623,1168,2332,907,336,1096,1647,1192,98,705,8392,1896,7112,5922,3112,10,346,1829,832,4956,573,406,713,2854,3933,1442,471,1282,4057,1848,3041,604,316,305,2700,272,1947,9033,9045,7585,3125,1119,369,1266,225,663,154,0,114602,,,,,,,,,,,,,,,,
D29X39,-1404,-87,0,-13,-185,-10,22,-10,14,-10,6,15,42,46,53,55,5,15,110,31,19,66,88,169,19,49,517,129,399,365,265,1,26,167,60,102,3,-62,56,191,230,122,34,438,265,127,15,40,11,25,190,16,142,378,420,247,-209,-20,4,99,15,39,0,0,3950,,,,,,,,,,,,,,,,
P51C,1395,139,10,258,827,153,265,341,215,155,288,306,299,433,627,601,801,614,742,761,172,253,3,1729,171,1080,1412,213,1498,878,1649,29,398,1950,60,810,120,200,1475,861,1067,175,55,12209,159,445,1099,115,89,4918,33,45,187,2401,1811,1282,314,321,226,182,58,203,0,0,51583,,,,,,,,,,,,,,,,
B2A3N,1939,792,1,296,1776,260,389,424,199,-58,271,532,398,261,810,600,221,1241,1186,542,338,496,884,1264,129,639,5126,909,7311,4276,1009,-23,-295,625,146,6046,359,114,286,814,1225,129,280,12173,2387,1249,1143,524,608,-293,197,35,1347,0,-179,2161,233,565,387,-68,209,1033,0,0,67877,,,,,,,,,,,,,,,,
B2A3G,3334,931,11,553,2603,414,655,765,414,96,559,838,696,694,1437,1201,1021,1855,1928,1303,510,749,887,2992,300,1719,6538,1121,8809,5154,2658,5,103,2575,206,6856,478,314,1761,1675,2293,305,335,24382,2546,1694,2242,639,696,4626,230,81,1534,2401,1632,3443,547,887,612,114,267,1236,0,0,119460,,,,,,,,,,,,,,,,
B3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
