PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
G47,298,2,20,14,679,89,42,65,37,635,76,55,85,96,165,141,5,51,33,12,5,57,33,127,8,41,547,18,338,88,69,109,24,38,10,657,13,9,24,9,21,2,3,46,28,16,18,12,3,9,0,16,12,654,46,357,50,3,5,40,2,2,0,0,6169,5803,0,0,5803,1265,0,6,6,1271,1042,732,311,611,1653,8726,14895
H49,25,0,4,16,15,3,1,1,0,1,4,9,2,3,3,5,0,1,2,0,1,1,4,2,0,1,81,111,211,122,34,190,28,33,10,0,9,1,35,8,3,1,2,35,81,57,10,93,14,10,0,86,3,377,19,12,4,8,1,171,10,6,0,0,1978,4224,0,1624,5847,0,0,0,0,0,145,65,80,59,204,6051,8029
H50,0,0,6,0,11,3,1,1,0,1,4,3,2,3,3,4,1,1,2,1,1,2,4,2,0,0,1,11,70,30,79,88,19,4,7,0,0,1,14,1,3,0,0,8,8,6,2,9,1,1,0,3,3,11,0,2,3,0,0,44,1,0,0,0,484,291,0,0,291,0,0,0,0,0,4616,2225,2391,9950,14565,14857,15340
H51,0,0,0,0,10,2,1,1,0,1,3,4,1,3,3,4,0,1,2,0,1,2,4,2,0,0,5,10,62,27,1,7,0,0,0,4,18,4,13,8,3,0,0,8,7,5,3,8,1,3,0,33,15,41,0,2,0,0,1,122,1,0,0,0,458,1200,0,0,1200,0,0,0,0,0,287,129,158,116,403,1602,2061
H52,0,0,26,72,335,5,2,2,1,15,4,6,3,14,7,11,0,2,14,1,10,3,14,1,2,6,182,168,2201,719,172,3135,176,328,95,9,321,1,349,103,0,12,0,162,30,23,10,91,8,7,0,77,4,10,0,0,0,2,2,0,4,0,0,0,8959,606,0,30,636,0,0,0,0,0,481,217,264,258,739,1375,10334
H53,9,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,22,135,59,5,0,0,0,0,94,129,1,28,57,78,24,7,19,14,11,7,18,3,7,1,88,90,59,0,3,1,0,3,34,2,0,0,0,1029,63,0,0,63,0,0,0,0,0,12,8,5,4,16,79,1108
I,0,0,0,2,19,4,1,1,0,2,6,6,3,5,6,8,1,2,4,1,1,3,7,3,1,1,2,2,13,7,10,71,1,6,0,0,16,28,6,26,12,20,14,21,3,1,11,3,2,7,0,177,23,4,0,12,2,0,3,764,0,0,0,0,1353,18356,0,0,18356,0,0,0,0,0,0,0,0,0,0,18356,19710
J58,0,0,0,1,44,3,1,1,1,1,5,6,2,4,5,3,0,1,1,2,1,1,2,10,1,0,16,13,57,37,44,26,9,16,3,21,38,2,29,20,8,4,29,12,16,7,33,15,9,8,0,5,20,86,128,20,1,5,1,22,1,3,0,0,860,1610,0,0,1610,364,0,0,0,364,122,70,52,48,169,2143,3003
J59_60,0,0,0,6,2,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,7,10,0,6,20,86,58,4,3,1,14,0,45,0,118,46,3,0,0,0,18,37,11,10,24,14,0,0,0,0,4,0,0,0,12,0,0,1,15,0,0,585,794,0,277,1071,85,0,0,0,85,65,44,21,46,111,1267,1852
J61,8,0,2,1,34,15,4,2,3,3,7,7,6,14,9,18,1,4,8,1,1,10,11,15,6,38,58,65,302,184,34,26,11,21,4,52,4,0,154,15,129,9,75,46,99,45,14,98,55,22,1,59,53,124,14,48,4,8,3,44,4,5,0,0,2112,6201,0,0,6201,0,0,0,0,0,217,136,81,71,288,6489,8601
J62_63,0,0,0,7,8,4,1,1,1,0,2,6,1,2,3,5,0,3,2,0,0,4,2,3,9,1,3,0,2,0,14,1,3,1,1,4,126,91,0,20,219,18,13,12,1,0,29,0,0,3,0,5,12,120,12,0,0,65,0,20,0,10,0,0,869,2,0,12,15,1280,0,0,0,1280,257,141,116,69,326,1621,2490
K64,301,4,48,30,336,67,9,32,34,176,44,44,40,68,81,88,10,32,28,8,7,42,32,300,10,14,185,58,479,249,174,1216,67,70,28,293,37,47,34,57,401,63,22,1239,79,59,26,48,22,38,4,74,86,908,30,53,14,88,88,226,5,27,0,0,8481,2788,0,0,2788,0,2,0,2,2,405,217,187,103,508,3298,11779
K65,6,0,2,2,39,12,5,3,2,10,8,5,8,18,16,16,3,3,5,2,4,8,11,0,1,1,53,3,21,7,112,74,26,5,9,8,77,2,3,34,45,8,3,122,2,1,3,2,0,7,0,27,2,42,6,0,0,1,1,17,0,0,0,0,915,1690,0,0,1690,0,0,0,0,0,244,121,124,77,322,2012,2928
K66,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,17,108,47,8,10,1,0,0,5,0,2,23,8,52,716,317,10,20,9,1,15,2,0,1,4,9,1,0,1,0,0,0,10,2,0,0,0,1470,23,0,0,23,0,0,0,0,0,0,0,0,0,0,23,1494
L,9,0,1,28,108,42,6,8,12,2,9,18,16,34,22,22,1,4,10,2,2,26,15,4,38,47,218,767,3252,2191,89,180,18,262,6,222,109,2,1767,140,377,25,94,418,932,425,39,928,518,46,2,82,71,354,31,50,5,73,2,42,34,14,0,0,14272,24667,0,0,24667,143,0,0,0,143,0,0,0,0,0,24810,39082
M69_70,8,0,2,31,354,70,20,15,17,37,62,70,48,140,196,244,11,36,49,11,18,46,70,10,24,15,365,129,583,366,34,175,8,125,3,118,30,31,295,83,401,72,103,110,157,71,26,155,87,49,4,51,103,529,10,63,3,0,3,35,6,0,0,0,5987,383,0,0,383,602,0,0,0,602,233,154,79,67,300,1286,7273
M71,28,0,0,47,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,1,11,30,0,1017,0,7,1,146,409,37,11,13,0,38,38,0,7,33,4,0,35,0,0,22,0,0,7,0,0,60,34,0,25,2,6,3,6,0,13,0,0,2127,51,0,0,51,0,0,0,0,0,89,59,30,26,114,165,2292
M72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,89,0,0,0,0,0,0,0,19,0,18,0,0,11,0,0,0,0,148,43,0,331,374,1434,0,0,0,1434,70,47,24,20,91,1899,2047
M73,0,0,2,9,748,23,4,18,3,9,56,50,15,12,19,23,1,12,9,2,1,17,10,4,12,0,53,27,141,77,43,28,11,158,3,38,19,14,62,46,0,0,18,29,32,15,12,32,18,11,0,47,29,62,10,10,1,96,11,69,1,30,0,0,2313,6,0,0,6,0,0,0,0,0,106,70,36,31,137,143,2456
M74_75,18,0,0,24,6,2,1,0,0,0,1,5,1,1,2,2,0,1,1,0,1,3,2,5,15,0,29,0,2,1,115,417,29,10,11,16,4,35,0,3,0,2,2,11,0,0,41,0,0,21,0,161,48,140,35,114,3,3,5,10,0,3,0,0,1362,168,0,0,168,0,0,0,0,0,106,71,36,31,137,306,1667
N77,3,0,0,42,4,2,1,0,0,0,1,72,1,1,2,2,0,1,2,0,0,4,1,8,17,66,60,0,6,0,237,116,57,10,20,19,5,13,0,2,21,6,0,13,0,0,18,0,0,77,0,30,28,42,23,5,8,18,4,60,0,31,0,0,1158,179,0,0,179,0,0,0,0,0,35,23,12,11,46,225,1383
N78,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,19,7,0,0,0,4,0,2,1,0,2,0,0,0,0,4,16,34,0,2,21,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,130,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,133
N79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,39,159,10,3,4,25,9,5,0,1,0,1,0,2,0,0,1,0,0,2,0,59,0,0,0,0,0,2,1,0,0,0,0,0,326,1732,0,0,1732,0,0,0,0,0,0,0,0,0,0,1732,2059
N80-82,0,0,0,31,4,2,1,0,0,0,1,17,1,1,2,3,0,1,2,0,1,4,2,8,20,87,9,0,4,1,347,271,83,15,30,415,96,30,0,15,89,30,1,23,1,0,26,0,0,85,1,74,88,130,159,280,30,34,63,27,0,73,0,0,2720,358,0,0,358,0,0,0,0,0,59,39,20,17,76,434,3154
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,24315,26994,0,0,0,0,0,0,0,0,0,0,26994,26994
P,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,37,0,2,0,2,1,0,1,0,0,0,1,12,1,1,17,0,2,1,2,0,0,3,0,0,1,0,4,2,90,16,34,27,6,1,10,0,0,0,0,317,3470,0,8292,11762,0,0,0,0,0,11,7,4,13,24,11785,12102
Q86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1,0,3,12,0,1,4,0,0,5,0,0,0,0,1,0,922,0,96,33,0,0,31,0,0,0,0,1117,5711,0,8093,13805,0,0,0,0,0,19,12,6,21,40,13844,14961
Q87_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,45,461,0,726,1186,0,0,0,0,0,0,0,0,0,0,1186,1231
R90-92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,30,0,161,0,5,240,1,0,11,1,0,5,0,0,0,0,28,0,128,11,0,0,607,1,15,0,34,0,0,1284,2033,0,208,2241,0,170,-14,155,155,13,9,4,15,28,2424,3708
R93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,51,0,1,0,2,0,5,0,0,1,0,0,4,0,19,0,68,16,0,24,24,52,50,0,0,0,0,327,181,59,66,307,0,0,0,0,0,1,0,0,1,2,309,635
S94,9,0,0,1,30,5,1,1,1,9,4,4,3,9,6,7,1,3,3,1,0,3,4,79,4,1,1,9,42,26,2,3,0,1,0,0,0,0,0,1,0,0,0,9,28,13,2,28,16,2,0,0,6,1,0,1,0,0,0,52,1,0,0,0,435,47,4706,0,4753,0,0,0,0,0,0,0,0,0,0,4753,5188
S95,0,0,0,0,15,3,1,1,1,3,2,1,2,10,12,5,0,1,2,0,0,2,2,7,5,3,69,10,46,30,3,15,1,12,0,57,16,0,24,38,0,0,8,8,13,6,3,13,7,3,0,0,7,15,0,56,2,0,0,0,0,0,0,0,539,177,0,0,177,0,0,0,0,0,39,22,18,11,50,227,766
S96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,1,0,0,4,0,0,0,0,50,1470,0,0,1470,0,0,0,0,0,0,0,0,0,0,1470,1520
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1282,0,0,1282,0,0,0,0,0,0,0,0,0,0,1282,1283
